epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.742,1.33412,7.60548,1.6475,0.33189,0.24341,0.21096,0.14169,1.42848,2.4186,1.78297,0.0003636,0.0003636,0.0003636
2,107.203,1.15122,1.73317,1.44409,0.44772,0.41862,0.39869,0.27585,1.33369,1.81661,1.67185,0.000726667,0.000726667,0.000726667
3,157.674,1.04784,1.47018,1.36346,0.269,0.50446,0.38902,0.25982,1.37557,2.09151,1.78352,0.0010824,0.0010824,0.0010824
4,207.46,1.01019,1.39319,1.32185,0.45063,0.48899,0.44427,0.33481,1.21933,1.86625,1.57593,0.001078,0.001078,0.001078
5,260.022,0.95711,1.25767,1.28105,0.56164,0.40196,0.47907,0.34331,1.29151,1.81823,1.66696,0.001067,0.001067,0.001067
6,310.874,0.96511,1.22182,1.29812,0.43092,0.45952,0.44066,0.32687,1.30665,1.81799,1.67025,0.00105601,0.00105601,0.00105601
7,360.738,0.92393,1.15337,1.26144,0.44228,0.47581,0.47315,0.36256,1.22804,1.70697,1.59521,0.00104501,0.00104501,0.00104501
8,411.643,0.89625,1.12206,1.25729,0.59851,0.46473,0.51367,0.37511,1.22069,1.65332,1.62207,0.00103401,0.00103401,0.00103401
9,462.839,0.90428,1.09922,1.25355,0.49788,0.49125,0.48495,0.34295,1.30281,1.71031,1.69811,0.00102301,0.00102301,0.00102301
10,512.547,0.87147,1.06734,1.24312,0.59094,0.45207,0.47587,0.33802,1.26767,1.76105,1.66535,0.00101201,0.00101201,0.00101201
11,562.066,0.84896,1.02127,1.21059,0.67477,0.41076,0.46348,0.33489,1.27986,1.81823,1.69908,0.00100101,0.00100101,0.00100101
12,614.147,0.86274,1.02182,1.20996,0.63525,0.4161,0.48461,0.37194,1.20875,1.67903,1.58789,0.000990012,0.000990012,0.000990012
13,663.946,0.84978,0.98733,1.21363,0.60909,0.43624,0.48231,0.34979,1.28985,1.82378,1.68602,0.000979013,0.000979013,0.000979013
14,713.45,0.81928,0.96864,1.19122,0.56278,0.4871,0.52776,0.39641,1.25797,1.65952,1.66274,0.000968014,0.000968014,0.000968014
15,764.478,0.80467,0.99039,1.19809,0.57184,0.55659,0.54858,0.39798,1.28781,1.60979,1.67962,0.000957015,0.000957015,0.000957015
16,815.457,0.81171,0.95885,1.19842,0.61226,0.44426,0.50969,0.37498,1.3458,1.91484,1.75574,0.000946016,0.000946016,0.000946016
17,868.23,0.77939,0.92082,1.17704,0.475,0.45509,0.41915,0.31645,1.29252,1.89408,1.70985,0.000935018,0.000935018,0.000935018
18,923.55,0.7926,0.92387,1.18588,0.60074,0.51682,0.53184,0.3856,1.25364,1.63213,1.6517,0.000924019,0.000924019,0.000924019
19,973.662,0.78134,0.88492,1.16381,0.63117,0.46107,0.48458,0.35243,1.29103,1.85089,1.67521,0.00091302,0.00091302,0.00091302
20,1025.51,0.77477,0.87105,1.16666,0.54331,0.51805,0.50498,0.34652,1.29674,1.82547,1.71027,0.000902021,0.000902021,0.000902021
21,1075,0.76796,0.85908,1.15526,0.55588,0.44087,0.47965,0.36937,1.25745,1.83739,1.6418,0.000891022,0.000891022,0.000891022
22,1124.87,0.74862,0.82857,1.14649,0.58686,0.47446,0.51837,0.37439,1.2646,1.76497,1.67868,0.000880023,0.000880023,0.000880023
23,1174.38,0.74039,0.82542,1.14337,0.50538,0.48318,0.48435,0.35212,1.26327,1.82191,1.67981,0.000869024,0.000869024,0.000869024
24,1224.43,0.74616,0.81644,1.13255,0.52045,0.48046,0.4911,0.35011,1.32133,1.87305,1.74873,0.000858025,0.000858025,0.000858025
25,1274.16,0.73288,0.80528,1.14074,0.60475,0.52154,0.53586,0.38955,1.22358,1.67029,1.65526,0.000847026,0.000847026,0.000847026
26,1323.8,0.7199,0.78924,1.13161,0.5414,0.50676,0.50117,0.37218,1.24338,1.66624,1.65407,0.000836027,0.000836027,0.000836027
27,1373.71,0.74125,0.80042,1.13107,0.57551,0.54524,0.55267,0.40966,1.21068,1.62497,1.64168,0.000825029,0.000825029,0.000825029
28,1424.5,0.71083,0.75159,1.12094,0.53442,0.52705,0.51492,0.38682,1.24565,1.76524,1.65599,0.00081403,0.00081403,0.00081403
29,1474.53,0.72429,0.76871,1.12751,0.57977,0.49045,0.50841,0.38593,1.21456,1.80492,1.62665,0.000803031,0.000803031,0.000803031
30,1524.35,0.69077,0.74935,1.11342,0.54163,0.48108,0.50584,0.37371,1.2508,1.67844,1.69187,0.000792032,0.000792032,0.000792032
31,1574.16,0.70043,0.75919,1.1123,0.66896,0.44436,0.4827,0.35729,1.27928,1.72362,1.7081,0.000781033,0.000781033,0.000781033
32,1624.04,0.68393,0.71942,1.10683,0.50118,0.54698,0.5051,0.3748,1.25129,1.68088,1.67455,0.000770034,0.000770034,0.000770034
33,1673.61,0.68582,0.71968,1.10621,0.58414,0.49647,0.50819,0.3765,1.23719,1.6102,1.67211,0.000759035,0.000759035,0.000759035
34,1723.69,0.66656,0.71527,1.09828,0.58399,0.47748,0.50456,0.37118,1.26423,1.7712,1.69088,0.000748036,0.000748036,0.000748036
35,1773.38,0.65909,0.72323,1.09582,0.56163,0.50419,0.49731,0.38213,1.27468,1.8808,1.7066,0.000737037,0.000737037,0.000737037
36,1823.37,0.66304,0.70803,1.09225,0.60814,0.48474,0.53369,0.3993,1.26788,1.65971,1.74555,0.000726038,0.000726038,0.000726038
37,1873.23,0.64547,0.68015,1.08511,0.61012,0.45937,0.4776,0.3559,1.25846,1.82569,1.69339,0.00071504,0.00071504,0.00071504
38,1922.86,0.62132,0.65968,1.06994,0.56822,0.56519,0.53464,0.40061,1.25839,1.74609,1.68934,0.000704041,0.000704041,0.000704041
39,1972.58,0.64139,0.68632,1.09433,0.57864,0.51055,0.5089,0.37528,1.25342,1.86861,1.70916,0.000693042,0.000693042,0.000693042
40,2022.02,0.62897,0.64633,1.0692,0.64003,0.46623,0.51478,0.37899,1.2374,1.80314,1.67656,0.000682043,0.000682043,0.000682043
41,2076.83,0.64877,0.65583,1.08781,0.48159,0.56494,0.51236,0.3901,1.23479,1.82444,1.62519,0.000671044,0.000671044,0.000671044
42,2127.01,0.61278,0.64544,1.06579,0.64299,0.5198,0.55063,0.42626,1.21685,1.83386,1.66678,0.000660045,0.000660045,0.000660045
43,2179.49,0.59678,0.62308,1.05508,0.60507,0.44316,0.47402,0.34639,1.29522,2.11994,1.73172,0.000649046,0.000649046,0.000649046
44,2229.06,0.6018,0.62777,1.05753,0.58124,0.53107,0.52734,0.40572,1.23683,1.85882,1.66386,0.000638047,0.000638047,0.000638047
45,2279.13,0.60935,0.63322,1.07417,0.64485,0.46319,0.52312,0.39079,1.23862,1.8476,1.67949,0.000627048,0.000627048,0.000627048
46,2328.96,0.61277,0.65538,1.06422,0.63484,0.48127,0.51426,0.37263,1.28817,1.84149,1.74362,0.000616049,0.000616049,0.000616049
47,2379.3,0.59417,0.62377,1.05955,0.59987,0.53308,0.5338,0.41756,1.21651,1.79249,1.64923,0.000605051,0.000605051,0.000605051
48,2429.12,0.60737,0.63635,1.07063,0.46421,0.5055,0.49733,0.3867,1.26502,1.93549,1.7037,0.000594052,0.000594052,0.000594052
49,2478.68,0.58373,0.6282,1.05742,0.57526,0.50386,0.51005,0.38717,1.22331,1.8533,1.68457,0.000583053,0.000583053,0.000583053
50,2531.47,0.5922,0.5945,1.05055,0.5878,0.46356,0.51221,0.37304,1.30777,1.78923,1.78675,0.000572054,0.000572054,0.000572054
51,2581.38,0.59561,0.62568,1.06042,0.59814,0.51394,0.51997,0.38861,1.23478,2.00442,1.69487,0.000561055,0.000561055,0.000561055
52,2631.12,0.58352,0.5908,1.04689,0.60064,0.4966,0.52534,0.38473,1.33298,1.84838,1.81092,0.000550056,0.000550056,0.000550056
53,2685.03,0.56092,0.57806,1.0316,0.59399,0.51232,0.53513,0.40025,1.25071,1.76937,1.69936,0.000539057,0.000539057,0.000539057
54,2734.88,0.56518,0.57948,1.04145,0.61171,0.46653,0.51386,0.38359,1.29615,1.89381,1.76822,0.000528058,0.000528058,0.000528058
55,2788.03,0.56764,0.581,1.04232,0.58538,0.51344,0.52632,0.39243,1.2348,1.63274,1.69692,0.000517059,0.000517059,0.000517059
56,2837.62,0.56713,0.57402,1.03735,0.55727,0.51219,0.53912,0.40836,1.26649,1.75749,1.7368,0.00050606,0.00050606,0.00050606
57,2887.46,0.55486,0.55932,1.03333,0.55067,0.48521,0.51476,0.38554,1.25002,1.75988,1.70373,0.000495062,0.000495062,0.000495062
58,2937.03,0.5449,0.53744,1.01898,0.68034,0.45231,0.53735,0.40495,1.2374,1.73431,1.68982,0.000484063,0.000484063,0.000484063
59,2986.82,0.53756,0.54038,1.02558,0.62976,0.48299,0.52517,0.39625,1.24171,1.83448,1.70628,0.000473064,0.000473064,0.000473064
60,3036.49,0.53108,0.54182,1.02057,0.68956,0.46371,0.5357,0.3912,1.28728,1.79198,1.77748,0.000462065,0.000462065,0.000462065
61,3086.73,0.53678,0.54797,1.03405,0.57161,0.53449,0.53673,0.39967,1.27248,1.75712,1.74113,0.000451066,0.000451066,0.000451066
62,3136.47,0.53043,0.52708,1.02116,0.67019,0.45283,0.51571,0.39368,1.28227,1.8942,1.74207,0.000440067,0.000440067,0.000440067
63,3186.3,0.51759,0.4986,1.00456,0.61814,0.51585,0.53733,0.41107,1.25079,1.80243,1.6964,0.000429068,0.000429068,0.000429068
64,3236.38,0.52477,0.51735,1.00777,0.68093,0.49014,0.55283,0.40751,1.29704,1.8357,1.77812,0.000418069,0.000418069,0.000418069
65,3285.99,0.5197,0.51713,1.02447,0.69277,0.48261,0.53545,0.40515,1.2854,1.71409,1.75434,0.00040707,0.00040707,0.00040707
66,3335.89,0.50897,0.52035,1.02058,0.60473,0.56032,0.55944,0.40946,1.25423,1.78021,1.72547,0.000396071,0.000396071,0.000396071
67,3385.58,0.53624,0.55113,1.0186,0.63554,0.53413,0.55411,0.41345,1.27112,1.68791,1.74977,0.000385073,0.000385073,0.000385073
68,3441.26,0.50192,0.50014,1.00305,0.60314,0.54589,0.52104,0.38183,1.29545,1.90617,1.77335,0.000374074,0.000374074,0.000374074
69,3491.41,0.49255,0.50678,0.99679,0.49835,0.56274,0.50744,0.37772,1.29474,1.89702,1.78374,0.000363075,0.000363075,0.000363075
70,3541.43,0.51147,0.50856,1.01515,0.65935,0.49373,0.55805,0.42634,1.22541,1.78534,1.70805,0.000352076,0.000352076,0.000352076
71,3592.12,0.49887,0.49309,1.00767,0.61032,0.5346,0.53212,0.39703,1.2685,1.81483,1.77387,0.000341077,0.000341077,0.000341077
72,3642.01,0.50419,0.49586,1.0053,0.68222,0.5031,0.53439,0.40061,1.28655,1.78298,1.74418,0.000330078,0.000330078,0.000330078
73,3691.62,0.47587,0.48902,0.99836,0.71748,0.47704,0.53671,0.40266,1.24633,1.85154,1.74189,0.000319079,0.000319079,0.000319079
74,3741.76,0.47988,0.47074,0.99008,0.67448,0.46495,0.53383,0.40214,1.25348,1.77207,1.7345,0.00030808,0.00030808,0.00030808
75,3791.56,0.47728,0.48382,0.99895,0.5828,0.52526,0.5517,0.4219,1.19165,1.80765,1.66722,0.000297081,0.000297081,0.000297081
76,3841.49,0.48529,0.48356,1.00381,0.56969,0.5483,0.54439,0.4203,1.19761,1.87886,1.68441,0.000286083,0.000286083,0.000286083
77,3890.95,0.4732,0.47443,0.99628,0.70801,0.5308,0.55213,0.4088,1.2768,1.7067,1.79785,0.000275084,0.000275084,0.000275084
78,3940.33,0.46556,0.46162,0.99101,0.65235,0.49698,0.55942,0.43108,1.25007,1.75732,1.73418,0.000264085,0.000264085,0.000264085
79,3991.16,0.46572,0.4429,0.9865,0.5706,0.53537,0.53716,0.39881,1.29774,1.8169,1.79837,0.000253086,0.000253086,0.000253086
80,4040.66,0.46552,0.45976,0.99246,0.61697,0.54912,0.54219,0.41066,1.25101,1.78832,1.74233,0.000242087,0.000242087,0.000242087
81,4090.37,0.45044,0.44374,0.98006,0.58773,0.53163,0.53321,0.41778,1.25453,1.85942,1.76706,0.000231088,0.000231088,0.000231088
82,4140,0.45032,0.44583,0.98622,0.66845,0.52652,0.55971,0.42429,1.25337,1.74207,1.77136,0.000220089,0.000220089,0.000220089
83,4189.44,0.44814,0.44648,0.97985,0.55576,0.56078,0.5387,0.39635,1.28077,1.87426,1.79134,0.00020909,0.00020909,0.00020909
84,4239.07,0.44071,0.43185,0.97306,0.69812,0.46313,0.54734,0.41642,1.2377,1.90937,1.71342,0.000198091,0.000198091,0.000198091
85,4288.56,0.44248,0.43463,0.98104,0.61219,0.48017,0.544,0.41848,1.22664,1.91543,1.71769,0.000187092,0.000187092,0.000187092
86,4338.43,0.43124,0.42648,0.97257,0.66864,0.46336,0.54137,0.41164,1.26634,1.88357,1.78415,0.000176094,0.000176094,0.000176094
87,4387.96,0.44569,0.43007,0.98366,0.55932,0.52223,0.53844,0.4101,1.25347,1.87793,1.75981,0.000165095,0.000165095,0.000165095
88,4437.37,0.43567,0.40947,0.97719,0.57267,0.50016,0.54556,0.41185,1.26983,1.93089,1.7555,0.000154096,0.000154096,0.000154096
89,4486.93,0.42569,0.41932,0.97161,0.62786,0.47046,0.54901,0.41327,1.27514,1.89185,1.77473,0.000143097,0.000143097,0.000143097
90,4536.51,0.41989,0.42219,0.9678,0.67837,0.45993,0.55549,0.41657,1.25468,1.89454,1.77051,0.000132098,0.000132098,0.000132098
91,4587.13,0.36459,0.32474,0.89813,0.55578,0.55482,0.52889,0.40153,1.28888,1.8976,1.85728,0.000121099,0.000121099,0.000121099
92,4636.66,0.34673,0.31199,0.9065,0.53814,0.54277,0.53553,0.41505,1.23757,1.90485,1.75825,0.0001101,0.0001101,0.0001101
93,4688.07,0.34504,0.30486,0.89815,0.59646,0.52798,0.54627,0.41291,1.22835,1.84519,1.75004,9.91012e-05,9.91012e-05,9.91012e-05
94,4743.59,0.3469,0.30164,0.90962,0.68092,0.46703,0.54565,0.40961,1.22167,1.83884,1.74452,8.81023e-05,8.81023e-05,8.81023e-05
95,4793.1,0.32889,0.28592,0.89593,0.60801,0.50381,0.53944,0.41223,1.19681,1.87195,1.72904,7.71034e-05,7.71034e-05,7.71034e-05
96,4842.75,0.31883,0.27681,0.8893,0.59181,0.49794,0.53945,0.41191,1.21787,1.89209,1.76461,6.61045e-05,6.61045e-05,6.61045e-05
97,4892.26,0.31386,0.28032,0.88649,0.59653,0.51571,0.53582,0.41158,1.23938,1.93453,1.77248,5.51056e-05,5.51056e-05,5.51056e-05
98,4942.08,0.31671,0.2844,0.89124,0.59232,0.53178,0.54162,0.41117,1.22879,1.90428,1.75642,4.41067e-05,4.41067e-05,4.41067e-05
99,4991.59,0.30527,0.26084,0.87562,0.58404,0.52194,0.54529,0.41528,1.22959,1.88826,1.76342,3.31078e-05,3.31078e-05,3.31078e-05
100,5040.99,0.32104,0.27808,0.89124,0.56569,0.53624,0.54265,0.41211,1.23573,1.89678,1.76916,2.21089e-05,2.21089e-05,2.21089e-05
